REGISTRO DE ALUMNOS
+---------+-----------+------------------+------------------+---------------------+------------+----------+----------+----------------------+
| NO. REG | MATRICULA | APELLIDO PATERNO | APELLIDO MATERNO |      NOMBRE(S)      | NACIMIENTO |   EDAD   |   SEXO   |         CURP         |
+---------+-----------+------------------+------------------+---------------------+------------+----------+----------+----------------------+
| 1       | 300813    | LOPEZ            | HERNANDEZ        | LUZ MARTINA         | 29/09/1984 |    39    |  MUJER   | LOHL840929MCLPRZ05
| 2       | 300979    | SANCHEZ          | JIMENEZ          | ELBA                | 19/03/1971 |    52    |  MUJER   | SAJE710319MSRNML07
| 3       | 301042    | VAZQUEZ          | PEREZ            | ELBA                | 22/04/1964 |    59    |  MUJER   | VAPE640422MBCZRL05
| 4       | 301386    | CAMPOS           | VAZQUEZ          | KEVIN               | 27/01/1925 |    98    |  HOMBRE  | CAVK250127HGRMZV07
| 5       | 301533    | LOMA             | MARTINEZ         | DANNA VICTORIA      | 29/01/2019 |    04    |  MUJER   | LOMD190129MCCMRNB5
| 6       | 301678    | GONZALEZ         | CRUZ             | LUIS                | 04/11/2019 |    04    |  HOMBRE  | GOCL191104HZSNRSB4
| 7       | 302587    | PEREZ            | QUIJADA          | ALDO                | 10/06/1956 |    67    |  HOMBRE  | PEQA560610HNTRJL07
| 8       | 302838    | RODRIGUEZ        | DIAZ             | EVA                 | 29/12/1931 |    92    |  MUJER   | RODE311229MBCDZV02
| 9       | 303494    | CAMPOS           | ANDRADE          | SAID                | 19/11/1943 |    80    |  HOMBRE  | CAAS431119HTCMND09
| 10      | 303517    | PALACIOS         | ANDRADE          | LUZ                 | 25/04/2011 |    12    |  MUJER   | PAAL110425MCCLNZB1
| 11      | 303544    | MARTINEZ         | ANDRADE          | KEVIN               | 28/05/1992 |    31    |  HOMBRE  | MAAK920528HBCRNV04
| 12      | 303634    | GOMEZ            | GONZALEZ         | PABLO FRANCISCO     | 25/08/1938 |    85    |  HOMBRE  | GOGP380825HPLMNB05
| 13      | 303642    | RODRIGUEZ        | SANCHEZ          | LUIS JAVIER         | 29/11/1960 |    63    |  HOMBRE  | ROSL601129HCHDNS04
| 14      | 303730    | ANDRADE          | CRUZ             | PABLO               | 28/07/2010 |    13    |  HOMBRE  | AACP100728HMCNRBA8
| 15      | 303879    | HERNANDEZ        | RODRIGUEZ        | DULCE               | 22/11/1997 |    26    |  MUJER   | HERD971122MYNRDL06
| 16      | 304262    | LOMA             | MARTINEZ         | ELBA MARIANA        | 16/08/1928 |    95    |  MUJER   | LOME280816MDGMRL07
| 17      | 305026    | PEREZ            | CAMPOS           | OMAR                | 04/12/1978 |    45    |  HOMBRE  | PECO781204HBCRMM02
| 18      | 305068    | AGUILAR          | PEREZ            | SAUL                | 24/04/1993 |    30    |  HOMBRE  | AUPS930424HVZGRL08
| 19      | 306449    | DIAZ             | GONZALEZ         | ALDO RAFAEL         | 05/02/2009 |    14    |  HOMBRE  | DIGA090205HJCZNLA7
| 20      | 306792    | JIMENEZ          | PALACIOS         | PABLO FERNANDO      | 29/05/1978 |    45    |  HOMBRE  | JIPP780529HCHMLB04
| 21      | 307070    | CRUZ             | VAZQUEZ          | KEVIN ALFREDO       | 20/02/2018 |    05    |  HOMBRE  | CUVK180220HCCRZVB3
| 22      | 307353    | ANDRADE          | JIMENEZ          | IRMA CAROLINA       | 19/07/1929 |    94    |  MUJER   | AAJI290719MGTNMR01
| 23      | 307360    | OROZCO           | GOMEZ            | CARMEN              | 02/03/2022 |    01    |  MUJER   | OOGC220302MDGRMRB3
| 24      | 307857    | GOMEZ            | GOMEZ            | JESUS JAZIEL        | 06/05/1987 |    36    |  HOMBRE  | GOGJ870506HCCMMS08
| 25      | 308395    | JIMENEZ          | LOMA             | JESUS FRANCISCO     | 06/03/1963 |    60    |  HOMBRE  | JILJ630306HCSMMS03
| 26      | 308519    | AGUILAR          | LOMA             | LUZ                 | 16/07/1962 |    61    |  MUJER   | AULL620716MNTGMZ07
| 27      | 309648    | PEREZ            | CHAVEZ           | EVA                 | 09/04/1988 |    35    |  MUJER   | PECE880409MGRRHV01
| 28      | 309842    | CHAVEZ           | AGUILAR          | ANA SOFIA           | 13/09/2005 |    18    |  MUJER   | CAAA050913MMNHGNA8
| 29      | 310234    | AGUILAR          | DIAZ             | LUIS ALFREDO        | 29/07/1981 |    42    |  HOMBRE  | AUDL810729HPLGZS05
| 30      | 310278    | SANCHEZ          | MARTINEZ         | IRMA ALEJANDRA      | 07/08/1950 |    73    |  MUJER   | SAMI500807MNTNRR01
| 31      | 310346    | ANDRADE          | CRUZ             | OMAR                | 01/02/2015 |    08    |  HOMBRE  | AACO150201HQRNRMB0
